,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Florin Andone,Romania,,,La Coruna,ST,10.0,7/22/2016,2021.0,79,182 cm,78 kg,Right,4/11/1993,23,ST,High / High,3,3,76,73,27,38,52,81,83,84,51,67,86,62,62,53,81,79,87,75,69,79,79,76,79,79,74,54,55,74,77,15,8,11,6,6
1,Emre Çolak,Turkey,Sub,6.0,La Coruna,CAM,8.0,7/1/2016,2019.0,79,169 cm,67 kg,Left,5/20/1991,25,CAM/LM/CM,Medium / Medium,3,3,82,80,35,43,44,52,76,75,45,78,71,77,79,78,78,71,69,40,89,86,50,65,72,75,79,75,79,72,70,6,7,15,12,7
2,Sidnei,Brazil,,,La Coruna,LCB,12.0,7/23/2015,2020.0,79,186 cm,82 kg,Right,6/23/1989,27,CB,High / Medium,2,2,76,69,80,79,82,77,75,44,80,44,71,56,71,68,51,59,71,88,46,51,63,74,61,46,50,36,39,58,43,9,10,12,16,14
3,Celso Borges,Costa Rica,,,La Coruna,LDM,22.0,1/14/2015,2019.0,78,184 cm,82 kg,Right,5/27/1988,28,CDM/CM,High / Medium,4,3,78,71,76,75,77,68,77,76,77,73,81,62,78,79,59,62,76,76,59,64,65,68,80,75,79,68,69,77,72,9,9,7,16,13
4,Carles Gil,Spain,,,La Coruna,RM,11.0,1/13/2015,2019.0,77,170 cm,65 kg,Left,11/2/1992,24,RM/CAM,High / Low,3,4,80,81,36,39,43,41,76,73,40,77,72,78,80,79,71,70,62,55,75,75,60,34,63,68,66,76,58,69,71,9,12,16,15,6
5,Juanfran,Spain,,,La Coruna,RB,2.0,7/1/2014,2017.0,77,179 cm,72 kg,Right,9/11/1988,28,RB/RM,High / Medium,3,3,80,71,68,74,73,68,73,69,78,63,55,80,72,67,78,82,88,73,70,76,74,66,79,57,80,64,60,59,53,10,13,13,9,14
6,Mosquera,Spain,,,La Coruna,Sub,5.0,7/27/2015,2021.0,77,184 cm,77 kg,Left,4/21/1988,28,CDM/CM,Medium / Medium,3,2,79,65,59,65,77,77,76,70,80,76,71,61,81,80,65,53,88,68,60,69,68,65,61,58,62,79,70,51,51,14,10,8,15,10
7,Guilherme,Brazil,,,La Coruna,Sub,20.0,7/18/2014,2019.0,76,178 cm,78 kg,Right,4/5/1991,25,CDM/CAM,High / Medium,4,2,76,64,58,76,79,81,75,64,77,74,72,62,78,75,62,67,67,75,69,71,74,63,79,55,65,64,68,55,59,12,9,12,7,10
8,Fayçal Fajr,Morocco,,,La Coruna,LM,19.0,7/1/2015,2018.0,76,178 cm,72 kg,Right,8/1/1988,28,CAM/RM,Medium / Medium,4,4,80,77,51,54,53,59,68,69,31,79,63,81,77,76,68,67,70,68,72,77,52,49,73,69,80,82,77,73,69,15,15,14,12,6
9,Gaël Kakuta,France,,,La Coruna,Sub,23.0,2/5/2016,2019.0,76,173 cm,64 kg,Left,6/21/1991,25,LM/RM,Medium / Medium,3,4,81,80,23,25,41,42,68,67,46,74,65,82,74,64,84,77,60,65,81,86,80,67,77,68,63,77,69,51,62,14,7,7,12,13
