,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Cristiano Ronaldo,Portugal,LS,7.0,Real Madrid,LW,7.0,7/1/2009,2021.0,94,185 cm,80 kg,Right,2/5/1985,32,LW/ST,High / Low,4,5,93,92,22,23,31,63,96,94,29,85,86,84,83,77,91,92,92,80,63,90,95,85,92,93,90,81,76,85,88,14,7,15,11,11
1,Gareth Bale,Wales,RS,11.0,Real Madrid,RW,11.0,9/2/2013,2022.0,90,183 cm,74 kg,Left,7/16/1989,27,RW,High / Medium,3,4,88,89,51,52,55,65,87,86,59,79,85,87,86,80,93,95,78,80,65,77,85,86,91,87,90,86,85,76,76,5,15,11,15,6
2,Luka Modrić,Croatia,,,Real Madrid,RCM,19.0,8/1/2012,2020.0,89,174 cm,65 kg,Right,9/9/1985,31,CM/CDM,High / Medium,4,4,92,86,66,73,80,62,88,79,76,90,76,78,92,83,77,71,83,58,94,93,67,55,73,71,82,79,77,80,74,14,13,7,9,9
3,Sergio Ramos,Spain,LCB,15.0,Real Madrid,LCB,4.0,8/1/2005,2020.0,89,183 cm,75 kg,Right,3/30/1986,31,CB,High / Medium,3,3,83,61,85,90,89,84,82,52,88,63,76,66,76,70,77,78,84,81,60,80,92,90,79,60,55,73,67,68,66,7,11,9,8,11
4,Toni Kroos,Germany,LDM,8.0,Real Madrid,LCM,8.0,7/17/2014,2022.0,88,182 cm,78 kg,Right,1/4/1990,27,CM/CDM,Medium / Medium,5,3,85,78,63,65,75,60,85,76,77,88,85,85,89,93,55,37,78,74,62,70,34,54,87,75,88,85,84,73,82,7,10,13,11,10
5,Pepe,Portugal,RCB,3.0,Real Madrid,RCB,3.0,7/1/2007,2017.0,88,188 cm,81 kg,Right,2/26/1983,34,CB,Medium / High,3,2,62,58,88,89,87,94,84,40,88,48,68,46,70,61,65,75,64,84,49,63,76,82,63,46,56,44,47,57,23,9,8,5,15,10
6,James Rodríguez,Colombia,LAM,10.0,Real Madrid,CAM,10.0,7/22/2014,2020.0,87,180 cm,75 kg,Left,7/12/1991,25,CAM/RM,Medium / Low,3,4,85,84,25,30,42,65,84,80,55,86,79,88,84,80,77,75,68,70,73,82,54,62,86,82,91,87,86,81,91,5,15,15,15,14
7,Marcelo,Brazil,LB,16.0,Real Madrid,LB,12.0,1/1/2007,2020.0,86,174 cm,75 kg,Left,5/12/1988,28,LB,High / Medium,4,4,87,83,80,87,84,84,85,75,83,75,76,87,81,76,77,80,82,77,82,77,77,70,83,67,66,80,67,59,54,5,12,5,5,9
8,Karim Benzema,France,,,Real Madrid,ST,9.0,7/1/2009,2019.0,86,187 cm,79 kg,Right,12/19/1987,29,ST,Medium / Low,4,4,86,82,13,12,15,65,83,87,22,85,82,75,86,47,79,82,74,78,60,77,70,78,83,87,77,79,73,82,79,5,13,5,11,7
9,Keylor Navas,Costa Rica,,,Real Madrid,GK,1.0,8/4/2014,2020.0,85,185 cm,78 kg,Right,12/15/1986,30,GK,Medium / Medium,3,1,19,16,12,14,14,32,82,16,20,54,49,11,30,37,54,53,39,75,61,60,74,11,21,15,13,11,15,25,11,80,87,72,82,85
10,Carvajal,Spain,RB,12.0,Real Madrid,RB,2.0,7/5/2013,2020.0,84,173 cm,73 kg,Right,1/11/1992,25,RB,High / Medium,3,2,83,76,85,86,85,81,81,61,82,57,69,83,81,71,78,85,84,75,79,82,76,65,64,41,36,72,47,45,34,9,13,15,13,15
11,Raphaël Varane,France,,,Real Madrid,Sub,5.0,7/1/2011,2020.0,84,191 cm,78 kg,Right,4/25/1993,23,CB,Medium / High,3,2,75,57,84,85,86,73,79,44,82,56,66,36,72,74,80,83,70,84,47,58,79,83,52,40,53,46,54,43,42,5,11,9,11,14
12,Isco,Spain,Sub,22.0,Real Madrid,Sub,22.0,7/3/2013,2018.0,84,176 cm,74 kg,Right,4/21/1992,24,CM/RM,High / Medium,3,4,90,89,25,49,66,58,78,83,65,84,76,72,84,82,76,69,71,59,82,83,64,55,72,79,80,86,74,76,64,15,10,12,8,6
13,Casemiro,Brazil,CDM,5.0,Real Madrid,Sub,14.0,7/11/2013,2021.0,83,184 cm,80 kg,Right,2/23/1992,25,CDM,Medium / High,3,2,77,69,79,85,86,87,78,66,84,72,73,52,80,82,59,62,85,82,57,66,87,74,86,59,75,59,74,66,53,12,13,16,14,12
14,Marco Asensio,Spain,,,Real Madrid,Sub,20.0,1/22/2015,2021.0,82,178 cm,70 kg,Left,1/21/1996,21,CAM/LM/LW,Medium / Medium,3,4,85,82,30,41,45,45,78,72,45,83,78,80,86,81,81,78,74,62,76,79,58,50,67,75,78,84,76,62,76,12,13,6,9,10
15,Lucas Vázquez,Spain,,,Real Madrid,Sub,17.0,7/2/2015,2021.0,82,173 cm,69 kg,Right,7/1/1991,25,RW/RM,High / High,4,3,82,81,23,37,51,65,85,81,44,82,70,84,80,76,86,81,88,56,79,82,67,51,78,77,79,82,75,56,54,9,9,9,16,7
16,Morata,Spain,Sub,7.0,Real Madrid,Sub,21.0,7/1/2016,2021.0,82,189 cm,85 kg,Right,10/23/1992,24,ST/LW,High / High,4,3,83,82,14,20,14,54,80,83,24,76,78,73,74,51,80,86,68,82,56,62,79,75,78,81,74,76,44,72,80,4,4,4,5,5
17,Mateo Kovačić,Croatia,,,Real Madrid,Sub,16.0,8/19/2015,2021.0,81,178 cm,77 kg,Right,5/6/1994,22,CM,High / Medium,4,4,87,88,52,61,65,71,68,67,69,88,70,73,87,79,86,78,78,65,70,77,62,42,79,58,74,78,68,59,76,7,9,6,5,7
18,Nacho Fernández,Spain,,,Real Madrid,Sub,6.0,8/1/2010,2021.0,80,179 cm,75 kg,Right,1/18/1990,27,CB/RB,Medium / Medium,4,2,71,55,80,83,82,72,72,37,81,53,65,70,75,61,74,72,80,77,67,60,81,79,54,32,28,55,37,45,38,15,12,10,7,7
19,Kiko Casilla,Spain,,,Real Madrid,Sub,13.0,7/19/2015,2020.0,80,191 cm,84 kg,Right,10/2/1986,30,GK,Medium / Medium,2,1,20,12,12,11,15,45,74,12,20,52,51,24,30,24,32,49,43,79,58,43,69,13,24,14,13,25,25,23,23,82,75,80,83,77
20,Danilo,Brazil,,,Real Madrid,Sub,23.0,7/1/2015,2021.0,79,184 cm,78 kg,Right,7/15/1991,25,RB/LB,High / Medium,4,3,78,73,73,79,78,74,79,75,81,62,67,71,77,69,77,82,83,79,66,75,75,68,85,61,72,74,76,67,72,14,14,15,5,5
21,Fábio Coentrão,Portugal,,,Real Madrid,Sub,15.0,7/5/2011,2017.0,77,179 cm,71 kg,Left,3/11/1988,29,LB/LM,Medium / Medium,2,3,72,81,71,82,77,82,68,65,80,69,76,77,75,69,77,76,59,64,76,67,77,71,69,65,66,78,60,54,64,15,7,16,13,14
22,Mariano,Dominican Republic,,,Real Madrid,Sub,18.0,7/1/2016,2021.0,74,179 cm,74 kg,Right,8/1/1993,23,ST,Medium / Medium,3,3,71,67,30,28,31,69,64,71,21,58,66,45,62,40,81,77,73,71,72,80,91,69,85,80,76,77,72,68,66,8,12,6,14,15
23,Achraf Hakimi,Morocco,,,Real Madrid,Res,33.0,7/1/2016,2020.0,70,177 cm,65 kg,Right,11/4/1998,18,RB/LB,High / Medium,2,2,68,70,59,71,66,57,63,58,68,61,62,69,68,65,78,81,81,71,74,75,64,55,71,57,60,46,55,46,37,6,10,14,8,8
24,Aleix Febas,Spain,,,Real Madrid,Res,36.0,7/1/2015,2018.0,68,171 cm,64 kg,Right,2/22/1996,21,CM,Medium / Medium,3,3,70,63,37,55,59,57,62,63,61,68,58,61,73,71,68,64,60,59,84,76,57,36,67,55,64,73,62,59,57,9,6,6,10,7
