,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Lionel Messi,Argentina,RW,10.0,Barcelona,RW,10.0,7/1/2004,2018.0,93,170 cm,72 kg,Left,6/24/1987,29,RW,Medium / Medium,4,4,95,97,13,26,28,48,95,93,22,90,94,77,88,87,92,87,74,59,95,90,68,71,85,95,88,89,90,74,85,14,6,15,11,8
1,Neymar,Brazil,LW,10.0,Barcelona,LW,11.0,7/1/2013,2021.0,92,174 cm,68 kg,Right,2/5/1992,25,LW,High / Medium,5,5,95,96,21,33,24,56,88,90,36,80,80,75,81,75,93,90,79,49,82,96,61,62,78,89,77,79,84,81,83,15,9,15,9,11
2,Luis Suárez,Uruguay,LS,9.0,Barcelona,ST,9.0,7/11/2014,2021.0,92,182 cm,85 kg,Right,1/24/1987,30,ST,High / Medium,4,4,91,86,30,38,45,78,93,92,41,84,83,77,83,64,88,77,89,76,60,86,69,77,87,94,86,86,84,85,88,33,27,31,25,37
3,Iniesta,Spain,LCM,6.0,Barcelona,LM,8.0,7/1/2002,2018.0,88,171 cm,68 kg,Right,5/11/1984,32,CM,High / Medium,4,4,93,90,57,56,57,58,88,85,68,94,88,79,92,86,74,73,64,59,86,82,54,54,65,73,74,80,70,71,74,13,6,6,13,7
4,Ivan Rakitić,Croatia,,,Barcelona,CAM,4.0,6/24/2014,2021.0,87,184 cm,78 kg,Right,3/10/1988,29,CM,Medium / Medium,3,3,87,84,52,53,65,67,79,80,69,87,81,81,87,92,67,65,76,63,66,71,51,58,84,83,88,88,84,78,80,5,14,12,11,9
5,Piqué,Spain,RCB,3.0,Barcelona,RCB,3.0,7/1/2008,2019.0,87,193 cm,85 kg,Right,2/2/1987,30,CB,High / Medium,3,2,78,59,86,86,87,72,84,58,88,62,76,57,81,80,56,73,69,83,44,58,74,83,62,64,51,58,43,69,57,15,10,14,11,8
6,Sergio Busquets,Spain,CDM,5.0,Barcelona,CDM,5.0,9/1/2008,2021.0,86,189 cm,76 kg,Right,7/16/1988,28,CDM/CM,Medium / Medium,3,3,80,74,81,80,85,85,82,77,86,84,82,62,88,79,53,33,88,77,55,58,66,68,61,60,54,66,68,60,44,9,5,13,8,13
7,Jordi Alba,Spain,LB,18.0,Barcelona,LCB,18.0,7/1/2012,2020.0,86,170 cm,68 kg,Left,3/21/1989,28,LB,High / Medium,3,3,84,80,81,83,84,75,82,77,83,68,75,83,79,70,93,93,90,66,86,90,81,63,64,73,66,77,64,59,60,6,13,13,15,13
8,Arda Turan,Turkey,RM,10.0,Barcelona,Sub,7.0,7/6/2015,2020.0,84,177 cm,76 kg,Right,1/30/1987,30,CM/LW,High / High,4,4,88,87,54,65,63,80,81,82,61,86,83,82,85,81,78,68,74,70,77,86,79,70,73,72,77,81,64,73,80,12,11,11,7,11
9,Javier Mascherano,Argentina,LCM,14.0,Barcelona,Sub,14.0,8/1/2010,2019.0,84,174 cm,73 kg,Right,6/8/1984,32,CB/CDM,Medium / High,3,2,80,58,82,83,84,88,83,51,90,68,86,63,79,75,67,65,86,74,78,71,75,68,76,42,55,63,50,60,51,5,6,8,10,5
