,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Antoine Griezmann,France,CAM,7.0,Ath Madrid,RS,7.0,7/29/2014,2021.0,88,176 cm,67 kg,Left,3/21/1991,26,ST/LW,High / Medium,3,4,86,87,23,11,22,69,90,91,35,76,81,82,79,75,87,86,75,61,80,90,87,80,81,88,82,84,75,71,87,13,14,14,8,14
1,Diego Godín,Uruguay,LCB,3.0,Ath Madrid,LCB,2.0,8/1/2010,2019.0,88,185 cm,73 kg,Right,2/16/1986,31,CB,Medium / High,3,2,76,53,87,89,86,86,85,48,88,52,80,55,79,70,62,67,69,80,58,63,89,92,67,42,43,49,51,50,47,5,6,15,8,15
2,Jan Oblak,Slovenia,GK,1.0,Ath Madrid,GK,13.0,7/17/2014,2021.0,87,189 cm,87 kg,Right,1/7/1993,24,GK,Medium / Medium,3,1,16,12,14,18,12,34,84,11,19,55,55,13,29,26,43,60,41,78,49,67,76,15,22,11,12,13,14,11,13,87,83,77,90,82
3,Filipe Luís,Brazil,Sub,6.0,Ath Madrid,LB,3.0,7/29/2015,2019.0,85,182 cm,77 kg,Left,8/9/1985,31,LB,High / Medium,3,3,81,77,85,86,83,81,83,71,82,70,78,84,78,77,77,83,91,74,60,74,62,68,71,59,60,74,75,65,56,9,11,9,15,5
4,Yannick Carrasco,Belgium,LM,18.0,Ath Madrid,LM,10.0,7/10/2015,2022.0,84,180 cm,66 kg,Right,9/4/1993,23,LM/LW,High / Medium,4,4,85,90,19,26,39,61,83,82,18,74,66,80,77,72,87,89,74,59,71,91,68,53,84,78,75,81,78,74,68,10,9,9,11,10
5,Koke,Spain,RCM,8.0,Ath Madrid,RM,6.0,1/1/2011,2019.0,84,178 cm,74 kg,Right,1/8/1992,25,CM/RM,High / High,4,3,86,80,63,51,66,71,84,80,64,89,75,84,86,85,74,69,82,75,78,77,61,61,84,71,81,85,76,59,56,10,14,5,12,13
6,Nicolás Gaitán,Argentina,,,Ath Madrid,Sub,23.0,7/1/2016,2020.0,84,173 cm,68 kg,Left,2/23/1988,29,LM,Medium / Medium,2,4,85,86,30,43,42,57,84,79,40,82,80,83,82,78,85,80,71,50,81,87,68,54,72,73,74,88,72,71,81,7,8,9,11,5
7,José María Giménez,Uruguay,RCB,2.0,Ath Madrid,Sub,24.0,7/1/2013,2018.0,83,185 cm,80 kg,Right,1/20/1995,22,CB,Medium / High,3,2,56,47,85,87,86,89,76,24,85,27,60,47,68,58,68,72,70,83,51,57,90,79,72,37,48,36,44,38,30,10,9,7,11,15
8,Kévin Gameiro,France,Sub,10.0,Ath Madrid,LS,21.0,7/30/2016,2020.0,83,173 cm,70 kg,Right,5/9/1987,29,ST,Medium / Medium,3,3,80,76,23,39,33,66,85,86,38,76,85,70,79,72,88,86,75,64,77,82,84,67,84,86,76,76,70,85,78,8,6,8,10,6
9,Juanfran,Spain,,,Ath Madrid,RB,20.0,1/1/2011,2018.0,83,180 cm,72 kg,Right,1/9/1985,32,RB,High / Medium,3,3,79,77,83,80,84,78,82,68,78,72,64,83,75,66,78,87,89,74,62,75,68,55,68,54,53,80,59,66,49,15,11,10,14,7
10,Stefan Savić,Montenegro,,,Ath Madrid,RCB,15.0,7/20/2015,2020.0,82,186 cm,73 kg,Right,1/8/1991,26,CB,Medium / High,3,2,66,47,85,84,82,83,78,29,84,41,75,35,67,69,60,65,62,77,54,60,85,81,43,34,31,34,28,37,27,13,14,14,13,12
11,Gabi,Spain,,,Ath Madrid,RCM,14.0,7/1/2011,2018.0,82,180 cm,74 kg,Right,7/10/1983,33,CM/CDM,Medium / High,3,2,79,74,76,74,79,82,80,72,82,79,83,67,85,84,62,65,83,69,73,73,60,51,81,67,76,86,75,83,64,5,6,10,12,10
12,Augusto Fernández,Argentina,,,Ath Madrid,Sub,12.0,1/4/2016,2019.0,81,177 cm,71 kg,Right,4/10/1986,30,CM,Medium / Medium,3,3,82,78,57,64,76,80,85,78,77,82,81,70,82,81,67,71,79,73,75,75,59,59,74,69,73,65,61,62,57,16,9,6,13,9
13,Moyá,Spain,,,Ath Madrid,Sub,1.0,6/4/2014,2018.0,81,189 cm,82 kg,Right,4/2/1984,32,GK,Medium / Medium,2,1,24,13,13,14,14,22,75,10,11,62,39,11,31,35,46,34,30,57,49,54,62,12,21,11,16,16,12,11,13,81,85,82,78,79
14,Fernando Torres,Spain,,,Ath Madrid,Sub,9.0,7/4/2016,2017.0,81,186 cm,78 kg,Right,3/20/1984,33,ST,Medium / Medium,4,3,81,82,17,18,22,62,73,82,20,76,69,68,78,51,76,78,63,76,54,74,75,76,83,77,73,80,63,74,81,9,14,8,13,10
15,Tiago,Portugal,,,Ath Madrid,Sub,5.0,7/17/2011,2017.0,81,183 cm,71 kg,Right,5/2/1981,35,CM/CDM,Medium / Medium,3,4,83,70,53,69,77,83,77,74,71,82,78,61,84,83,54,55,67,76,56,60,76,75,77,62,75,75,68,57,67,8,6,12,8,14
16,Saúl,Spain,,,Ath Madrid,LCM,8.0,5/1/2012,2021.0,80,181 cm,70 kg,Left,11/21/1994,22,CM/CAM/LM,Medium / High,4,3,82,81,69,77,81,66,82,77,78,76,80,69,85,78,74,73,81,76,68,75,79,83,74,67,62,63,60,54,30,10,7,12,13,9
