,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
0,Dani García,Spain,,,Eibar,LDM,14.0,7/1/2012,2018.0,79,180 cm,75 kg,Right,5/1/1990,26,CDM,Medium / High,3,3,81,65,65,75,77,85,68,58,82,74,71,55,85,81,58,47,86,73,69,66,64,46,74,49,54,61,57,58,37,6,6,14,14,11
1,Florian Lejeune,France,,,Eibar,LCB,20.0,7/1/2016,2020.0,79,190 cm,81 kg,Right,5/20/1991,25,CB,Medium / High,3,2,66,55,76,73,82,87,67,46,81,40,70,51,74,67,49,58,75,90,59,60,72,75,72,50,66,47,41,43,42,12,11,15,15,7
2,Gonzalo Escalante,Argentina,,,Eibar,RDM,5.0,1/11/2016,2020.0,78,182 cm,75 kg,Right,3/27/1993,24,CDM/RM,Medium / High,3,3,71,70,73,78,84,86,78,59,81,73,80,63,78,66,64,68,85,72,64,66,74,58,77,56,58,63,52,64,59,12,10,7,12,11
3,Takashi Inui,Japan,,,Eibar,LM,8.0,8/26/2015,2018.0,78,169 cm,63 kg,Right,6/4/1988,28,LM/RM,Medium / Medium,3,3,85,88,26,21,20,35,67,71,32,74,76,69,75,65,87,79,76,44,92,95,62,41,54,65,77,85,65,51,53,15,11,11,12,8
4,Sergi Enrich,Spain,,,Eibar,ST,9.0,7/12/2015,2019.0,78,181 cm,77 kg,Right,2/26/1990,27,ST,High / High,3,3,79,73,26,22,42,66,82,85,42,63,65,65,69,61,60,67,77,80,65,68,76,80,73,81,67,55,47,63,79,14,8,8,8,6
5,Pedro León,Spain,,,Eibar,RM,21.0,7/5/2016,2018.0,78,183 cm,73 kg,Right,11/24/1986,30,RM/LM,High / Low,3,3,84,83,34,32,44,55,71,67,43,80,53,88,80,82,61,69,69,59,72,63,48,36,82,72,79,87,83,71,68,15,11,10,12,16
6,Fran Rico,Spain,,,Eibar,Sub,16.0,8/5/2011,2020.0,77,178 cm,68 kg,Right,8/3/1987,29,CDM/CAM,Medium / Medium,3,2,80,65,62,65,77,82,74,53,76,72,54,68,82,81,63,56,77,64,71,66,58,62,76,61,73,76,78,72,54,13,9,8,14,7
7,Bebé,Portugal,,,Eibar,Sub,25.0,7/12/2016,2020.0,77,190 cm,83 kg,Right,7/12/1990,26,LM/ST,Medium / Low,4,3,78,82,18,20,23,72,74,71,29,66,67,78,70,64,82,90,74,82,58,69,64,57,88,69,70,67,76,65,69,7,15,8,7,11
8,Iván Ramis,Spain,,,Eibar,RCB,4.0,8/16/2015,2017.0,77,188 cm,82 kg,Right,10/25/1984,32,CB,Medium / High,3,2,65,53,74,76,80,84,68,52,81,50,66,45,72,75,43,48,76,85,54,53,70,72,76,54,65,67,77,65,59,8,7,9,15,11
9,Capa,Spain,,,Eibar,RB,7.0,7/1/2012,2018.0,76,173 cm,70 kg,Right,5/14/1992,24,RB/RM,High / High,4,4,76,74,66,79,73,88,73,76,67,68,63,75,72,57,86,87,91,75,81,75,76,57,81,56,62,51,58,54,52,12,12,6,13,11
10,Mauro Dos Santos,Argentina,,,Eibar,Sub,15.0,7/22/2015,2017.0,76,180 cm,76 kg,Right,7/7/1989,27,CB,Medium / Medium,3,2,66,39,77,80,79,81,68,37,73,36,53,52,69,56,61,66,72,80,61,64,79,69,52,37,33,53,43,46,32,13,8,6,14,12
11,Gálvez,Spain,,,Eibar,Sub,3.0,8/3/2016,2019.0,76,188 cm,79 kg,Right,6/6/1989,27,CB/CDM,Medium / Medium,3,2,64,54,74,76,77,87,72,47,74,50,69,39,74,71,50,53,72,84,55,51,61,73,53,29,36,47,58,44,41,6,8,11,12,9
12,Adrián González,Spain,,,Eibar,CAM,24.0,8/19/2015,2018.0,76,183 cm,76 kg,Left,5/25/1988,28,CAM/CM/CDM,High / Medium,3,3,81,76,59,68,70,70,78,72,68,75,62,69,78,69,61,64,73,64,66,67,65,70,58,75,70,81,69,76,51,6,6,12,15,7
